STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020
Arizona,Arizona,6392017,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401
Arizona,Apache County,71518,71828,72181,72231,72333,71808,71026,71418,71538,71819,71920,71875
Arizona,Cochise County,131346,131823,133124,132085,129664,127437,126594,125885,125048,126581,127248,127450
Arizona,Coconino County,134421,134624,134309,136204,136788,137675,139100,140609,141300,142914,143967,142481
Arizona,Gila County,53597,53565,53445,53009,53026,53074,53020,53400,53619,53833,54077,54303
Arizona,Graham County,37220,37154,37129,37027,37456,38123,37888,37859,37530,38032,38890,39211
Arizona,Greenlee County,8437,8342,8587,8764,8918,9356,9587,9642,9451,9424,9467,9341
Arizona,La Paz County,20489,20499,20606,20524,20526,20521,20476,20670,20737,21030,21257,21480
Arizona,Maricopa County,3817117,3825183,3875371,3948165,4018657,4094842,4174423,4258019,4329227,4405306,4492261,4579081
Arizona,Mohave County,200186,200336,202888,203484,203322,203670,204890,205899,207668,210371,213846,217206
Arizona,Navajo County,107449,107693,107560,107334,107164,107741,107695,108569,109145,110490,111037,112112
Arizona,Pima County,980263,981649,988500,993231,997374,1004521,1009490,1017083,1027115,1037746,1049261,1061175
Arizona,Pinal County,375770,379106,378114,382371,385574,395563,405922,417312,431490,446524,461640,480828
Arizona,Santa Cruz County,47420,47402,47640,47330,46902,46596,46493,46412,46578,46446,46728,46808
Arizona,Yavapai County,211033,210990,211081,212065,214539,217882,221019,224828,228398,232467,236062,240226
Arizona,Yuma County,195751,197148,202881,202520,202447,204064,205187,207162,209244,211245,214182,217824
Florida,Florida,18801310,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312
Florida,Alachua County,247336,247624,249879,251596,252585,255606,259215,264127,266501,269190,269489,271218
Florida,Baker County,27115,27067,27055,27059,27008,27123,27357,27903,28255,28381,29288,29566
Florida,Bay County,168852,169209,169587,171818,174704,178435,181678,183765,184841,186555,173895,171322
Florida,Bradford County,28520,28536,28430,27052,26804,26562,26759,26756,27158,27759,28348,28593
Florida,Brevard County,543376,544000,544442,547119,550478,555838,566133,577380,588165,594978,601024,608459
Florida,Broward County,1748066,1752843,1787096,1814468,1836869,1861259,1885435,1913780,1935945,1948058,1955475,1958105
Florida,Calhoun County,14625,14657,14725,14673,14582,14456,14412,14346,14463,14593,14140,14078
Florida,Charlotte County,159978,159897,159926,162840,164801,168208,172607,178046,181998,185204,189669,194711
Florida,Citrus County,141236,141177,139782,139215,138888,138907,140397,142988,145619,147920,150153,153010
Florida,Clay County,190865,191453,192335,193909,195732,198687,202552,207401,212381,215902,219014,221770
Florida,Collier County,321520,322576,327670,332330,339133,347401,356288,365894,373286,378657,385917,392973
Florida,Columbia County,67531,67558,67326,67903,67444,67821,68277,69300,70051,70719,71766,72654
Florida,DeSoto County,34862,34935,34847,35003,34903,35333,35644,36228,37159,37128,37821,38520
Florida,Dixie County,16422,16399,16403,16152,16084,16041,16352,16455,16609,16692,16887,17057
Florida,Duval County,864263,865653,872483,880349,886277,897094,911106,927038,939167,950469,959853,966728
Florida,Escambia County,297619,298069,299478,303556,306879,308200,309630,311975,313882,315857,319379,322364
Florida,Flagler County,95696,96065,97473,98461,99845,101961,104533,107608,110316,112415,115481,118451
Florida,Franklin County,11549,11523,11471,11609,11520,11656,11702,11834,11730,11694,12113,12201
Florida,Gadsden County,46389,47792,47372,46571,46084,46113,46057,46069,45984,45933,45670,45277
Florida,Gilchrist County,16939,17006,17002,16908,16972,17007,17394,17607,17899,18263,18572,18885
