County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Calhoun County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Chilton County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Houston County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Jefferson County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0
"Lauderdale County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Limestone County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Madison County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Mobile County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0
"Montgomery County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Morgan County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"St. Clair County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Shelby County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Tuscaloosa County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Walker County, AL",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Anchorage Borough, AK",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
"Matanuska-Susitna Borough, AK",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Cochise County, AZ",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Coconino County, AZ",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Maricopa County, AZ",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,468.0
"Maricopa County, AZ",2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,86.0
"Maricopa County, AZ",2010.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,55.0
"Mohave County, AZ",2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
