County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State
"Cochise County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AZ
"Coconino County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AZ
"Maricopa County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,273.0,AZ
"Maricopa County, AZ",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,63.0,AZ
"Maricopa County, AZ",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32.0,AZ
"Mohave County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AZ
"Pima County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,145.0,AZ
"Pima County, AZ",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,AZ
"Pinal County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,AZ
"Yavapai County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,AZ
"Alachua County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,FL
"Bay County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,FL
"Brevard County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0,FL
"Brevard County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,FL
"Broward County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0,FL
"Broward County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,60.0,FL
"Citrus County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL
"Clay County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL
"Collier County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,FL
"Duval County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,107.0,FL
"Duval County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,FL
"Escambia County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,FL
"Hernando County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL
"Highlands County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
"Hillsborough County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,114.0,FL
"Hillsborough County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL
"Indian River County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
"Lake County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
"Lee County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,FL
"Lee County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,FL
"Leon County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,FL
"Manatee County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,FL
"Marion County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,FL
"Marion County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,FL
"Martin County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL
"Miami-Dade County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,FL
"Miami-Dade County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL
"Monroe County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
"Okaloosa County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,FL
"Orange County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0,FL
"Osceola County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,FL
"Palm Beach County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,175.0,FL
"Palm Beach County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,FL
"Pasco County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0,FL
"Pasco County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,FL
"Pinellas County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0,FL
"Pinellas County, FL",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,FL
"Polk County, FL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,FL
