County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Jefferson County, AL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0
"Mobile County, AL",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Anchorage Borough, AK",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Matanuska-Susitna Borough, AK",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Cochise County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Coconino County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Maricopa County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,273.0
"Maricopa County, AZ",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,63.0
"Maricopa County, AZ",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32.0
"Mohave County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Pima County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,145.0
"Pima County, AZ",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0
"Pinal County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Yavapai County, AZ",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Pulaski County, AR",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18.0
"Alameda County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,96.0
"Alameda County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"Butte County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"Contra Costa County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0
"Contra Costa County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"El Dorado County, CA",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Fresno County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0
"Humboldt County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Kern County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,79.0
"Kern County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0
"Los Angeles County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,616.0
"Los Angeles County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,93.0
"Los Angeles County, CA",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0
"Madera County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Marin County, CA",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0
"Mendocino County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Merced County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Monterey County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Napa County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Orange County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,152.0
"Orange County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,50.0
"Orange County, CA",2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16.0
"Placer County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Riverside County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,128.0
"Riverside County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,22.0
"Sacramento County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,111.0
"Sacramento County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,37.0
"San Bernardino County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"San Bernardino County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0
"San Diego County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,222.0
"San Diego County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,65.0
"San Francisco County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0
"San Francisco County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0
"San Joaquin County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
"San Luis Obispo County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"San Mateo County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"San Mateo County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0
"Santa Barbara County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Santa Clara County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0
"Santa Clara County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0
"Santa Cruz County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Santa Cruz County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0
"Shasta County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Solano County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Sonoma County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
"Stanislaus County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0
"Stanislaus County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0
"Tulare County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Ventura County, CA",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,73.0
"Ventura County, CA",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0
"Adams County, CO",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Adams County, CO",2003.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0
"Arapahoe County, CO",2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
