County,Year,State,Deaths,State_Name,Population,Death_Ratio_per_100000
Adams County,2009,PA,12,Pennsylvania,101252,11.85161775
Adams County,2010,PA,10,Pennsylvania,101407,9.861252182
Adams County,2012,OH,10,Ohio,28288,35.35067873
Adams County,2014,OH,10,Ohio,28060,35.63791875
Adams County,2015,OH,13,Ohio,27919,46.56327232
Alachua County,2003,FL,11,Florida,227022,4.845345385
Alachua County,2007,FL,17,Florida,242685,7.004965284
Alachua County,2009,FL,15,Florida,246657,6.081319403
Alachua County,2010,FL,15,Florida,247336,6.06462464
Alachua County,2011,FL,14,Florida,249879,5.602711712
Alachua County,2012,FL,14,Florida,251596,5.564476383
Alachua County,2013,FL,12,Florida,252585,4.750875943
Alachua County,2014,FL,19,Florida,255606,7.433315337
Alachua County,2015,FL,23,Florida,259215,8.87294331
Alamance County,2005,NC,11,North Carolina,139311,7.896002469
Alamance County,2006,NC,10,North Carolina,141462,7.069036208
Alamance County,2007,NC,11,North Carolina,144712,7.60130466
Alamance County,2008,NC,19,North Carolina,147704,12.86356497
Alamance County,2009,NC,20,North Carolina,149954,13.33742348
Alamance County,2011,NC,16,North Carolina,152712,10.4772382
Alamance County,2012,NC,19,North Carolina,153299,12.39407954
Alamance County,2013,NC,15,North Carolina,154209,9.727058732
Alamance County,2014,NC,16,North Carolina,155439,10.293427
Alamance County,2015,NC,14,North Carolina,157104,8.911294429
Alexander County,2009,NC,11,North Carolina,37053,29.68720481
Alexander County,2015,NC,11,North Carolina,36960,29.76190476
Alexandria city,2009,VA,12,Virginia,137523,8.725813137
Alexandria city,2015,VA,11,Virginia,153859,7.149403025
Allegan County,2007,MI,17,Michigan,111427,15.25662541
Allegan County,2009,MI,12,Michigan,111252,10.78632294
Allegan County,2013,MI,10,Michigan,112020,8.926977325
Allegan County,2014,MI,21,Michigan,113361,18.52488951
Allegheny County,2003,PA,197,Pennsylvania,1258420,15.65455094
Allegheny County,2004,PA,195,Pennsylvania,1247531,15.6308741
Allegheny County,2005,PA,207,Pennsylvania,1234787,16.76402489
Allegheny County,2006,PA,137,Pennsylvania,1226025,11.17432353
Allegheny County,2007,PA,195,Pennsylvania,1222482,15.95115511
Allegheny County,2008,PA,222,Pennsylvania,1221071,18.18076099
Allegheny County,2009,PA,217,Pennsylvania,1222171,17.75528956
Allegheny County,2010,PA,231,Pennsylvania,1223348,18.8826074
Allegheny County,2011,PA,241,Pennsylvania,1228437,19.61842569
Allegheny County,2012,PA,276,Pennsylvania,1231129,22.41844681
Allegheny County,2013,PA,264,Pennsylvania,1233999,21.3938585
Allegheny County,2014,PA,314,Pennsylvania,1233417,25.45773246
Allegheny County,2015,PA,414,Pennsylvania,1229342,33.67655217
Allen County,2012,OH,14,Ohio,105251,13.30153633
Allen County,2013,OH,15,Ohio,105071,14.27606095
Allen County,2014,OH,12,Ohio,104886,11.44099308
Allen County,2015,OH,18,Ohio,104141,17.28425884
Anderson County,2004,TX,11,Texas,56245,19.55729398
Anderson County,2006,TX,10,Texas,57386,17.425853
Anderson County,2008,TX,10,Texas,57963,17.25238514
Aransas County,2006,TX,10,Texas,23395,42.74417611
Arlington County,2015,VA,14,Virginia,228887,6.116555331
Armstrong County,2006,PA,14,Pennsylvania,70030,19.99143224
Armstrong County,2010,PA,13,Pennsylvania,68941,18.85670356
Armstrong County,2011,PA,15,Pennsylvania,68661,21.84646306
Armstrong County,2012,PA,14,Pennsylvania,68223,20.52093869
Armstrong County,2013,PA,14,Pennsylvania,68015,20.58369477
Armstrong County,2014,PA,17,Pennsylvania,67631,25.13640195
Armstrong County,2015,PA,26,Pennsylvania,66913,38.85642551
Ashtabula County,2008,OH,10,Ohio,101826,9.820674484
Ashtabula County,2010,OH,18,Ohio,101497,17.73451432
Ashtabula County,2011,OH,18,Ohio,101100,17.8041543
Ashtabula County,2012,OH,26,Ohio,100274,25.92895466
Ashtabula County,2013,OH,15,Ohio,99779,15.03322342
Ashtabula County,2014,OH,27,Ohio,99064,27.25510781
Ashtabula County,2015,OH,22,Ohio,98443,22.3479577
Athens County,2007,OH,13,Ohio,64102,20.28017847
Athens County,2011,OH,12,Ohio,65092,18.43544522
Athens County,2012,OH,10,Ohio,64633,15.47197252
Augusta County,2009,VA,15,Virginia,73844,20.31309247
Augusta County,2012,VA,11,Virginia,73599,14.94585524
Barnstable County,2003,MA,21,Massachusetts,226011,9.291583153
Barnstable County,2004,MA,21,Massachusetts,224264,9.3639639
Barnstable County,2005,MA,20,Massachusetts,221995,9.009211919
Barnstable County,2006,MA,28,Massachusetts,220037,12.72513259
Barnstable County,2007,MA,37,Massachusetts,218380,16.94294349
Barnstable County,2008,MA,26,Massachusetts,217066,11.97792377
Barnstable County,2009,MA,25,Massachusetts,215994,11.57439559
Barnstable County,2010,MA,24,Massachusetts,215888,11.11687542
Barnstable County,2011,MA,18,Massachusetts,215389,8.356972733
Barnstable County,2012,MA,20,Massachusetts,214854,9.308646802
Barnstable County,2013,MA,41,Massachusetts,214609,19.10451099
Barnstable County,2014,MA,48,Massachusetts,214398,22.38826855
Barnstable County,2015,MA,62,Massachusetts,214015,28.96993201
Barrow County,2006,GA,10,Georgia,61395,16.28797133
Barrow County,2008,GA,10,Georgia,67362,14.84516493
Barrow County,2010,GA,12,Georgia,69367,17.29929217
Barrow County,2012,GA,10,Georgia,70128,14.25963952
Barrow County,2014,GA,11,Georgia,72843,15.10097058
Bartow County,2004,GA,13,Georgia,87834,14.80064667
Bartow County,2008,GA,14,Georgia,98415,14.22547376
Bartow County,2010,GA,20,Georgia,100157,19.96864922
Bartow County,2011,GA,17,Georgia,100110,16.98132055
Bartow County,2012,GA,13,Georgia,100241,12.96874532
Bartow County,2014,GA,16,Georgia,101251,15.80231306
Bartow County,2015,GA,18,Georgia,102063,17.6361659
Bastrop County,2013,TX,10,Texas,75809,13.19104592
Bay County,2003,FL,21,Florida,155044,13.54454219
Bay County,2004,FL,18,Florida,158804,11.33472708
Bay County,2005,FL,17,Florida,162917,10.43476126
Bay County,2006,FL,21,Florida,165644,12.67779093
Bay County,2006,MI,13,Michigan,108711,11.95831149
Bay County,2007,FL,30,Florida,165345,18.14388098
Bay County,2007,MI,12,Michigan,108132,11.09754744
Bay County,2008,FL,23,Florida,166267,13.83317195
Bay County,2008,MI,17,Michigan,108320,15.69423929
Bay County,2009,FL,18,Florida,167464,10.7485788
Bay County,2009,MI,14,Michigan,107913,12.97341377
Bay County,2010,FL,22,Florida,168852,13.02916163
Bay County,2010,MI,11,Michigan,107771,10.20682744
Bay County,2011,MI,20,Michigan,107423,18.61798684
Bay County,2012,FL,15,Florida,171818,8.730167968
Bay County,2012,MI,21,Michigan,106980,19.62983735
Bay County,2013,FL,19,Florida,174704,10.87553805
Bay County,2013,MI,17,Michigan,106817,15.9150697
Bay County,2014,FL,22,Florida,178435,12.32941968
Bay County,2014,MI,13,Michigan,106073,12.25571069
Bay County,2015,FL,25,Florida,181678,13.76060943
Bay County,2015,MI,21,Michigan,105271,19.94851384
Beaver County,2003,PA,20,Pennsylvania,177523,11.2661458
Beaver County,2004,PA,18,Pennsylvania,176395,10.20437087
Beaver County,2005,PA,14,Pennsylvania,174820,8.008237044
Beaver County,2006,PA,17,Pennsylvania,173259,9.811900103
Beaver County,2007,PA,20,Pennsylvania,172161,11.61703289
Beaver County,2008,PA,18,Pennsylvania,171336,10.50567306
Beaver County,2009,PA,26,Pennsylvania,170524,15.24712064
Beaver County,2010,PA,24,Pennsylvania,170539,14.07302728
Beaver County,2011,PA,33,Pennsylvania,170330,19.37415605
Beaver County,2012,PA,31,Pennsylvania,170091,18.22553809
Beaver County,2013,PA,41,Pennsylvania,169770,24.15032102
Beaver County,2014,PA,34,Pennsylvania,169033,20.11441553
Beaver County,2015,PA,34,Pennsylvania,168311,20.20069989
Bedford County,2003,PA,11,Pennsylvania,49812,22.0830322
Bedford County,2009,PA,11,Pennsylvania,49889,22.04894867
Bedford County,2013,VA,11,Virginia,76189,14.43777973
Bell County,2005,TX,10,Texas,266017,3.759158249
Bell County,2006,TX,10,Texas,273771,3.65268783
Bell County,2007,TX,10,Texas,287752,3.475214768
